site;code insee;période;heure;zone;comptage - entrées
Rennes les champs libres;35238;10/01/2013;15:00;RdC champs libres, rdc 4;52
Rennes les champs libres;35238;10/01/2013;15:00;RdC champs libres, rdc retour;15
Rennes les champs libres;35238;10/01/2013;15:00;RdC vie du citoyen, rdc vie du citoyen;82
Rennes les champs libres;35238;10/01/2013;16:00;1er étage vie du citoyen, 1er etage vie du citoyen;16
Rennes les champs libres;35238;10/01/2013;16:00;RdC champs libres, rdc 2;7
Rennes les champs libres;35238;10/01/2013;16:00;RdC champs libres, rdc 3;180
Rennes les champs libres;35238;10/01/2013;16:00;RdC champs libres, rdc 4;60
Rennes les champs libres;35238;10/01/2013;16:00;RdC champs libres, rdc retour;9
Rennes les champs libres;35238;10/01/2013;16:00;RdC vie du citoyen, rdc vie du citoyen;82
Rennes les champs libres;35238;10/01/2013;17:00;1er étage vie du citoyen, 1er etage vie du citoyen;14
Rennes les champs libres;35238;10/01/2013;17:00;RdC champs libres, rdc 2;4
Rennes les champs libres;35238;10/01/2013;17:00;RdC champs libres, rdc 3;227
Rennes les champs libres;35238;10/01/2013;17:00;RdC champs libres, rdc 4;71
Rennes les champs libres;35238;10/01/2013;17:00;RdC champs libres, rdc retour;15
Rennes les champs libres;35238;10/01/2013;17:00;RdC vie du citoyen, rdc vie du citoyen;89
Rennes les champs libres;35238;10/01/2013;18:00;1er étage vie du citoyen, 1er etage vie du citoyen;5
Rennes les champs libres;35238;10/01/2013;18:00;RdC champs libres, rdc 2;3
Rennes les champs libres;35238;10/01/2013;18:00;RdC champs libres, rdc 3;111
Rennes les champs libres;35238;10/01/2013;18:00;RdC champs libres, rdc 4;66
