climate_11h,climate_14h,climate_17h,date,max_temperature,min_temperature,sunny_time
Très nuageux,Très nuageux,Très nuageux,2013-06-12,19.7,15.3,0
,,,2013-07-12,27.5,12.2,14
,Très nuageux,Eclaircies,2013-08-12,22.4,11.0,9
Très nuageux,,Très nuageux,2013-10-12,12.5,8.4,2
Très nuageux,Bruine,Très nuageux,2013-11-12,15.9,11.0,0
Bancs de brouillard,Bancs de brouillard,Bancs de brouillard,2013-12-12,6.1,1.3,0
,,Bruine,2013-12-13,9.8,4.0,0
,Très nuageux,Eclaircies,2013-12-14,11.0,1.2,3
Très nuageux,Très nuageux,Très nuageux,2013-12-15,12.4,8.6,0
,Très nuageux,Très nuageux,2013-12-17,11.6,7.1,0
Très nuageux,Très nuageux,Très nuageux,2013-12-18,11.8,4.0,1
Très nuageux,,,2013-12-19,10.5,5.4,5
,,,2013-12-20,10.9,0.8,7
Très nuageux,Très nuageux,Très nuageux,2013-12-21,12.0,7.7,0
Très nuageux,Bruine,,2013-12-22,12.8,8.9,2
Bruine,Bruine,Très nuageux,2013-12-24,12.0,8.5,0
,,,2013-12-26,12.6,2.4,7
Bruine,Bruine,Très nuageux,2013-12-27,12.9,5.1,0
Très nuageux,,Très nuageux,2013-12-28,9.1,4.2,1
,,,2013-12-29,10.6,1.4,7
Très nuageux,Bruine,Très nuageux,2013-12-31,11.5,6.1,0
